z,M,lambda,chisi,zeta,lambda_error,lambda_wo_noise,lambda_true,zeta_true,res_lambda,res_zeta
0.46366407846595725,271959041527310.7,68.95953803032342,5.209140156013472,4.9127529110461134,5.252029627880004,68.95953803032342,74.56426796659917,5.037077141349283,-5.60472993627576,-0.12432423030316997
0.6769180517431344,480178207111093.06,147.36419571747635,12.060976526568405,11.935960571920221,7.6776088912493154,147.36419571747635,138.02573934077955,12.762130762972404,9.338456376696797,-0.8261701910521833
0.2656676552874749,227883672497472.28,46.69418076810102,3.6553639068311954,3.2189571745154084,4.321767266667702,46.69418076810102,60.30947365577405,3.6494216654718312,-13.615292887673029,-0.4304644909564228
0.8097454235211655,205766533391532.12,50.01768486012974,3.959678918754737,3.5607663697062018,4.472926776066416,50.01768486012974,59.47886157302837,3.6063491542541843,-9.461176712898627,-0.04558278454798259
0.6319797297925158,284947151114616.4,85.71774572661025,6.509261795791715,6.274590753678966,5.8555186184183645,85.71774572661025,80.44098658109769,5.661740976644403,5.276759145512557,0.6128497770345636
0.29552596856155106,326609542782027.6,86.88639822677602,7.19131867107255,6.979617770975476,5.895299762582936,86.88639822677602,87.46682366994894,6.38623021493971,-0.5804254431729134,0.5933875560357658
0.23161216423125883,248491387063977.6,50.79389384857727,3.726510870626975,3.299527734222129,4.507500143031713,50.79389384857727,65.53514235890124,4.133077659266763,-14.74124851032397,-0.8335499250446339
0.1917644469095229,491021498032679.5,138.15727317709752,11.531891185034317,11.401075138050455,7.433902694469374,138.15727317709752,130.49373136456757,11.637560231378124,7.663541812529957,-0.2364850933276692
0.8958883705278284,293702352622349.3,80.9160411890859,6.6590237803708865,6.429820970100565,5.689149011551232,80.9160411890859,86.75598394236144,6.371536953453724,-5.839942753275537,0.0582840166468408
1.1550245268149113,170344847137478.47,60.53532555614072,3.4877410115347316,3.0272656579067045,4.920785529004113,60.53532555614072,51.94906454209199,2.9589542906691686,8.58626101404873,0.06831136723753595
